epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,3040.61,0.71252,0.60956,1.07176,0.96486,0.94097,0.92299,0.76939,0.68913,0.52556,1.11607,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,3134.12,0.70887,0.60079,1.06862,0.91971,0.93648,0.93023,0.7779,0.67894,0.51725,1.10746,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3227.21,0.70906,0.61111,1.07009,0.90872,0.93965,0.9197,0.77188,0.67805,0.50082,1.10756,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3320.75,0.70565,0.59206,1.06658,0.93573,0.93324,0.92602,0.78152,0.66956,0.50203,1.10009,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3413.67,0.70881,0.59166,1.06819,0.91696,0.92692,0.92794,0.78132,0.67536,0.51652,1.10268,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3507.02,0.70189,0.58263,1.06816,0.92124,0.92996,0.93024,0.78338,0.67707,0.50411,1.10392,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3601.46,0.69686,0.57962,1.06639,0.90931,0.93098,0.92515,0.77904,0.67056,0.52947,1.10211,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3695.08,0.69428,0.56903,1.06317,0.92418,0.92104,0.92592,0.77852,0.66789,0.51442,1.09832,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3788.07,0.6946,0.57012,1.06208,0.96413,0.92651,0.93114,0.78587,0.66894,0.49017,1.09764,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3881.37,0.69387,0.56501,1.06334,0.94196,0.94253,0.91822,0.77408,0.67066,0.52029,1.10009,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3974.4,0.69233,0.55983,1.05993,0.96737,0.94239,0.9304,0.78102,0.6756,0.51885,1.10466,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
